trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
881,True,"{'a': 0, 'e': 0}",20,8,22.835690510756027,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
882,True,"{'a': 0, 'e': 0}",30,19,21.740757032475067,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,True,"{'a': 0, 'e': 0}",25,13,21.93367155492588,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
884,True,"{'a': 0, 'e': 0}",25,15,20.646701665607967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
885,True,"{'a': 0, 'e': 0}",25,15,18.966100704298526,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
886,True,"{'a': 0, 'e': 0}",20,16,7.889938847187264,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
887,True,"{'a': 0, 'e': 0}",25,17,14.760870318949241,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
888,True,"{'a': 0, 'e': 0}",20,12,17.801905530740484,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
889,True,"{'a': 0, 'e': 0}",20,8,29.172443201008974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
890,True,"{'a': 0, 'e': 0}",25,19,13.725375726710222,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
891,True,"{'a': 0, 'e': 0}",20,10,19.437802813687522,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
892,True,"{'a': 0, 'e': 0}",25,15,19.912145763019005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
893,True,"{'a': 0, 'e': 0}",20,12,16.019809360216566,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
894,True,"{'a': 0, 'e': 0}",20,14,13.325118654226154,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
895,True,"{'a': 0, 'e': 0}",25,14,22.460357082072502,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
896,True,"{'a': 0, 'e': 0}",20,14,10.473483294082568,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
897,True,"{'a': 0, 'e': 0}",25,14,24.41155209158284,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
898,True,"{'a': 0, 'e': 0}",20,7,21.918778705677497,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
899,True,"{'a': 0, 'e': 0}",30,13,35.005670051298225,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
900,True,"{'a': 0, 'e': 0}",35,15,38.99261729016904,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
901,True,"{'a': 0, 'e': 0}",20,12,15.00689633787756,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
902,True,"{'a': 0, 'e': 0}",25,10,28.37448658915844,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
903,True,"{'a': 0, 'e': 0}",25,11,30.2913844434379,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
904,True,"{'a': 0, 'e': 0}",25,17,18.23677562357413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
905,True,"{'a': 0, 'e': 0}",20,6,23.949660287066358,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
906,True,"{'a': 0, 'e': 0}",25,15,16.594042316924863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
907,True,"{'a': 0, 'e': 0}",20,14,9.057077165018574,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
908,True,"{'a': 0, 'e': 0}",20,13,12.360753963321402,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
909,True,"{'a': 0, 'e': 0}",25,14,21.27906430789345,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
910,True,"{'a': 0, 'e': 0}",30,17,24.54630209822516,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
911,True,"{'a': 0, 'e': 0}",25,14,21.932292087955346,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
912,True,"{'a': 0, 'e': 0}",20,8,24.502274320740398,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
913,True,"{'a': 0, 'e': 0}",20,8,20.385715459452644,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
914,True,"{'a': 0, 'e': 0}",20,11,18.479312763005456,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
915,True,"{'a': 0, 'e': 0}",25,7,32.35729146415663,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
916,True,"{'a': 0, 'e': 0}",25,17,18.454596664163184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
917,True,"{'a': 0, 'e': 0}",25,11,30.016598320712628,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
918,True,"{'a': 0, 'e': 0}",25,20,9.611159394026897,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
