trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
202,True,"{'a': 0, 'e': 0}",20,9,-6.2247593049259295,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
203,True,"{'a': 0, 'e': 0}",35,18,16.388530080625358,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,True,"{'a': 0, 'e': 0}",25,15,19.231760824844148,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,True,"{'a': 0, 'e': 0}",25,13,23.37414414086366,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,True,"{'a': 0, 'e': 0}",20,12,14.843084025431013,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,True,"{'a': 0, 'e': 0}",25,9,31.532514262981522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,True,"{'a': 0, 'e': 0}",25,18,12.327895195459387,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,True,"{'a': 0, 'e': 0}",35,21,27.778347940021074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,True,"{'a': 0, 'e': 0}",30,16,23.129191255160592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,True,"{'a': 0, 'e': 0}",25,17,14.63059536831205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,True,"{'a': 0, 'e': 0}",20,9,3.7884426825467292,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,True,"{'a': 0, 'e': 0}",20,10,20.64793831776235,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,True,"{'a': 0, 'e': 0}",20,3,30.33059193647995,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,True,"{'a': 0, 'e': 0}",25,7,31.952722648931193,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,True,"{'a': 0, 'e': 0}",25,13,22.28916024069844,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,True,"{'a': 0, 'e': 0}",25,16,17.084143834285925,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,True,"{'a': 0, 'e': 0}",20,15,11.57391978945953,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,True,"{'a': 0, 'e': 0}",20,12,14.870069681346763,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,True,"{'a': 0, 'e': 0}",25,16,17.382898260637923,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
